,Nº,NJ,Denominación,"%
Producción
Total","Cantidad
de
Juicios ","%
(Créditos/
Activos)","%
[(Dispon.+ Invers.) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers. + Inmuebles) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers.+ Inmueb.) /
(Deudas c/Aseg.+ Comp.Técn.)]","% 
(Inversiones + Inmuebles) /
Activos","%
Superávit /
Capital Requerido","[(Dispon.+ Invers.) /
Compromisos Exigibles]",Fecha,Categoría
63,64.0,A,LIDER MOTOS,1.3349290472973e-05,0,3.04133816993356,0.0,0.0,0.0,96.1211236526261,2.80651666666667,0.0,03/2017,Patrimoñales y Mixta
64,65.0,A,LIDERAR,0.763485162208481,15048,21.5089837625251,134.350496873009,136.091733717266,126.852426753116,67.4469392513357,36.2419909705688,34.3456230253626,03/2017,Patrimoñales y Mixta
65,66.0,C,LUZ Y FUERZA,0.0253885647699991,248,18.3266133347216,184.992450362842,234.643987595727,184.96457583622,77.8645142450808,55.0581119047619,18.8030205054683,03/2017,Patrimoñales y Mixta
66,67.0,A,MAPFRE,1.74175142484332,2174,42.0021607745313,134.614529884946,138.984775866648,98.4068506990874,50.7830501003961,22.6955227722574,2.25902503493547,03/2017,Patrimoñales y Mixta
67,68.0,A,MERCANTIL ANDINA,2.20697223248054,2591,41.7871861002207,116.618107841395,124.215699441637,94.4941778999035,47.4683864250895,19.8548354116342,26.8720405776238,03/2017,Patrimoñales y Mixta
68,69.0,A,MERCANTIL ASEGURADORA,0.00807702605654017,1,4.06351598510819,0.0,0.0,0.0,81.7527103222909,19.2008277777778,0.0,03/2017,Patrimoñales y Mixta
69,70.0,A,MERIDIONAL,1.67396027175164,3707,55.8146149700102,192.411129938164,208.958857122526,100.382531608205,34.654789588538,160.877603091582,27.7524109416982,03/2017,Patrimoñales y Mixta
70,71.0,A,METLIFE,0.976168450970256,485,15.0951802952067,813.253213926652,813.253213926652,162.575377719214,75.6093388485509,125.559252017708,109.32414718346,03/2017,Patrimoñales y Mixta
71,72.0,A,METROPOL,0.0380600974498594,402,38.7636690453198,144.858690368921,181.725405669823,123.612156529751,59.9389982725825,59.9234666666667,78.7120218256313,03/2017,Patrimoñales y Mixta
72,73.0,A,NACIÓN,2.58636619954019,6396,32.7055190297671,176.777806197358,176.777806197358,131.558757330341,64.5206903909584,377.499961764457,19.7430484121881,03/2017,Patrimoñales y Mixta
73,74.0,A,NATIVA,0.0838599668680838,430,29.916815866481,127.859233723828,128.69158772611,105.354201395724,59.8197562628663,29.644712962963,54.9237723552107,03/2017,Patrimoñales y Mixta
