,Nº,NJ,Denominación,"%
Producción
Total","Cantidad
de
Juicios ","%
(Créditos/
Activos)","%
[(Dispon.+ Invers.) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers. + Inmuebles) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers.+ Inmueb.) /
(Deudas c/Aseg.+ Comp.Técn.)]","% 
(Inversiones + Inmuebles) /
Activos","%
Superávit /
Capital Requerido","[(Dispon.+ Invers.) /
Compromisos Exigibles]",Fecha,Categoría,% Mercado
23,8.0,A,INST. ENTRE RÍOS RETIRO,0.019551840059447125,4.0,0.9688918303781234,0.0,0.0,132.56577550008012,87.58030013467243,173.37609666666665,54.91847668711226,2018-03,Seguros de Retiro,1.07
24,9.0,A,METLIFE  RETIRO,0.0030967915854953685,567.0,4.357933897009329,0.0,0.0,125.18941323660985,95.22082046880294,311.8983813332607,135.10186579701664,2018-03,Seguros de Retiro,0.17
25,10.0,A,NACIÓN RETIRO,0.165343374459787,983.0,1.2344279884062397,0.0,0.0,120.47895454380775,98.54745094816589,364.96194112788817,79.31928924050506,2018-03,Seguros de Retiro,9.02
26,11.0,A,ORÍGENES RETIRO,0.15858729931624602,2824.0,3.3452939391451735,0.0,0.0,105.56370493591977,96.02427889549257,19.701234223623683,114.643254449256,2018-03,Seguros de Retiro,8.65
27,12.0,A,PROYECCIÓN RETIRO,0.0,6.0,2.635733967225131,0.0,0.0,126.48849547358026,96.50753388728914,247.49329333333333,0.0,2018-03,Seguros de Retiro,0.0
28,13.0,A,SAN CRISTÓBAL RETIRO,0.05171666018260396,57.0,1.900788610750407,0.0,0.0,125.45139576438883,97.7211277593809,267.316434636058,153.87514432157602,2018-03,Seguros de Retiro,2.82
29,14.0,A,SEGUNDA RETIRO,0.0672534623832406,2.0,1.6705805344743794,0.0,0.0,111.60156199146553,97.60816805756234,182.7512944874224,493.6182394637813,2018-03,Seguros de Retiro,3.67
30,15.0,A,SMG RETIRO,0.0037682205885154834,99.0,0.7456979866853453,0.0,0.0,134.9367103052118,99.13000809599332,491.1909553032896,148.77229646420741,2018-03,Seguros de Retiro,0.21
31,16.0,A,ZURICH RETIRO,0.0,1.0,0.9733635341070049,0.0,0.0,348.9144874176713,98.10560285124097,21.744703333333334,200.4439102202782,2018-03,Seguros de Retiro,0.0
32,1.0,A,BINARIA RETIRO,0.0207409205943367,53.0,0.958935290118711,0.0,0.0,115.78427909847431,98.7709485922951,144.197829259875,646.69365912802,2017-12,Seguros de Retiro,1.22
33,2.0,A,CREDICOOP RETIRO,0.0109536897324261,33.0,3.27064032038819,0.0,0.0,122.95611472572779,95.7456263533294,336.533382521426,116.408993925277,2017-12,Seguros de Retiro,0.64
34,3.0,A,ESTRELLA RETIRO,1.16061489261478,56.0,0.745101530451265,0.0,0.0,106.34904621672278,98.5639534355066,29.17023420271,0.0,2017-12,Seguros de Retiro,68.11
35,4.0,A,EXPERTA RETIRO,0.0,6.0,2.15811775011336,0.0,0.0,145.90921563097692,97.2851213009268,-22.5347,185.462103844187,2017-12,Seguros de Retiro,0.0
36,5.0,A,FED. PATRONAL RETIRO,0.000309934562124446,1.0,3.8304153194932,0.0,0.0,0.0,94.0111104066338,6.59636,0.0,2017-12,Seguros de Retiro,0.02
